COD_CLI;STATUS;IFIN1;IFIN2;IFIN3;IFIN4;IFIN5;IFIN6;IFIN7;IFIN8;IFIN9;IFIN10;FATLIQ;REST_TIPO_1;REST_TIPO_2;REST_TIPO_3;REST_TIPO_4;REST_TIPO_5;UF;IDADE;RAMO;NUM_SOCIOS
1912;MAU;10.70;921.40;14.80;0.00;19.20;11.51;-1.75;133.00;-3.75;-14.28;307.72;14;4;5;0;0;RJ;22;8;4
1913;BOM;4.30;666.66;38.48;0.25;0.60;12.21;0.05;658.00;-13.33;-21.84;2490.02;0;0;16;1;0;MG;22;2;4
1914;MAU;6.30;601.62;155.40;1.38;5.50;12.29;-0.50;438.20;-48.75;60.06;467.86;0;0;0;0;0;RJ;47;7;3
1915;MAU;3.50;428.18;4.44;0.00;2.30;12.04;0.70;;10278.33;-0.84;5290.90;0;0;1;0;0;RJ;35;6;4
1916;MAU;31.20;981.02;69.56;0.00;0.60;15.56;1.45;540.40;-234.16;-13.02;2656.44;4;0;0;0;0;RJ;35;6;4
1917;MAU;7.00;319.78;0.00;0.00;2.40;14.59;1.70;-123.20;52.91;-17.64;3262.46;0;0;0;0;0;RJ;38;5;3
1918;MAU;2.90;406.50;0.00;0.00;6.50;12.47;0.95;-1337.00;63.33;-11.34;772.44;0;0;1;0;0;RJ;41;3;4
1919;MAU;9.40;775.06;140.60;0.00;18.00;11.73;0.20;478.80;-110.83;13.86;1007.94;4;0;3;3;0;RJ;33;6;4
1920;MAU;18.90;1165.30;93.24;0.00;;11.78;1.25;616.00;-34.58;-0.84;3629.84;1;0;1;0;0;RJ;87;1;2
1921;BOM;36.90;2130.06;0.00;0.00;8.60;11.47;2.20;;0.00;-0.42;314.00;0;0;0;0;0;RJ;21;5;4
1922;MAU;2.00;536.58;76.96;2.30;2.70;12.26;0.05;-382.20;-38.33;-7.98;1014.22;0;0;3;0;0;RJ;32;4;3
1923;BOM;1.50;243.90;0.00;0.00;15.40;11.31;-0.20;8498.00;-176.66;-6.30;166.42;3;0;2;0;60;SP;47;6;4
1924;MAU;505.00;12010.72;87.32;0.99;0.90;13.20;-0.80;606.20;-135.41;-1.26;2113.22;22;0;28;0;0;RJ;43;1;2
1925;MAU;8.80;205.96;2.96;0.00;7.30;13.20;1.25;-2447.20;-1.25;61.32;882.34;22;0;0;0;7;RJ;33;4;2
1926;BOM;0.80;514.90;0.00;0.00;0.00;11.31;0.75;3332.00;3.33;-0.84;94.20;0;0;0;0;60;RJ;33;3;4
1927;MAU;3.30;699.18;0.00;0.00;4.40;11.69;0.60;-110401.20;-172.08;5.46;602.88;0;0;0;0;0;RJ;21;7;2
1928;BOM;1.50;601.62;0.00;0.00;1.80;11.38;1.80;-2059.40;10.83;-3.36;788.14;0;0;0;0;0;RJ;61;7;4
1929;BOM;1.00;151.76;0.00;0.00;21.40;12.80;1.15;;0.00;2.52;2260.80;0;0;0;0;0;RJ;53;1;4
1930;MAU;4.30;644.98;2.96;0.00;1.40;12.07;0.20;176.40;-7.50;-2.52;3896.74;6;0;14;0;0;RJ;21;2;2
1931;BOM;5.10;428.18;44.40;0.00;0.80;15.43;0.50;-2975.00;-20.00;-1.68;923.16;0;0;0;0;0;RJ;21;5;2
1932;BOM;2.50;428.18;37.00;0.00;2.20;12.78;-1.20;322.00;-18.33;-20.16;5350.56;0;0;0;0;0;RJ;67;7;2
1933;BOM;5.30;634.14;0.00;0.00;3.10;12.42;0.05;319.20;-8.33;-1.26;1698.74;60;0;60;0;0;RJ;150;6;4
1934;MAU;90.60;2270.98;415.88;0.00;;12.02;-4.55;693.00;-937.50;0.84;5036.56;1;0;0;0;0;RJ;90;8;2
1935;BOM;8.10;666.66;0.00;0.00;2.80;13.39;0.70;-123.20;31.66;-2.94;5463.60;0;0;0;0;0;RJ;62;7;3
1936;MAU;16.70;1235.76;291.56;0.67;1.60;11.97;-2.55;656.60;-260.83;-1.68;1350.20;0;0;5;0;0;RJ;146;5;2
1937;MAU;214.70;8877.96;177.60;2.30;1.60;12.82;-8.10;638.40;686.25;-13.02;2411.52;16;1;3;0;0;RJ;70;3;4
1938;MAU;13.60;883.46;96.20;1.36;2.00;12.53;-0.20;590.80;-47.91;-9.66;976.54;0;0;1;0;0;RJ;43;1;4
1939;MAU;128.70;1593.48;85.84;0.00;2.00;14.67;10.95;205.80;-32.50;-12.18;5677.12;2;0;3;0;0;RJ;182;4;4
1940;BOM;11.60;558.26;7.40;0.00;2.80;13.21;1.00;410.20;-2.91;-1.68;850.94;4;0;74;0;0;RJ;85;7;4
1941;MAU;39.80;2200.52;111.00;1.70;4.50;11.95;0.40;865.20;-40.83;-160.44;530.66;39;0;5;0;0;RJ;42;2;3
1942;MAU;51.00;975.60;7.40;0.00;21.10;11.60;-0.05;-35186.20;-4.16;-0.84;643.70;18;0;1;0;0;RJ;21;4;4
1943;MAU;7.40;791.32;72.52;0.00;3.10;11.76;-0.25;631.40;-54.58;1.68;1554.30;0;0;3;0;0;RJ;41;2;2
1944;BOM;18.00;1425.46;0.00;0.00;;11.31;-0.35;6799.80;0.00;-91.56;138.16;1;0;1;0;25;RJ;21;5;2
1945;BOM;13.90;617.88;37.00;0.00;3.00;13.62;-1.30;464.80;-18.75;-7.56;2464.90;0;0;0;0;0;RJ;40;6;4
1946;BOM;8.10;682.92;10.36;0.00;2.80;12.72;0.55;-12.60;-2.50;-10.92;7586.24;0;0;2;0;0;RJ;40;7;2
1947;MAU;8.30;650.40;26.64;0.00;1.00;13.71;-1.00;831.60;-55.00;-9.66;976.54;4;0;1;0;0;RJ;38;7;2
1948;MAU;11.60;780.48;53.28;0.60;1.00;11.73;0.20;205.80;-28.33;-6.30;2581.08;1;0;2;0;0;MG;21;3;4
1949;MAU;23.90;1685.62;119.88;0.00;4.30;11.37;-1.60;735.00;-140.83;-12.60;207.24;6;0;24;0;0;MG;21;5;4
1950;MAU;16.70;682.92;19.24;0.00;12.70;12.61;1.00;877.80;5.00;-1.68;6490.38;8;0;4;0;8;RJ;29;6;3
1951;BOM;34.40;1756.08;66.60;0.00;2.70;12.43;1.25;604.80;-58.33;3.78;3686.36;0;0;0;0;0;RJ;29;6;3
1952;MAU;9.30;433.60;113.96;1.79;0.80;13.62;5.95;74.20;-36.66;0.84;1422.42;3;0;11;1;12;RJ;28;3;2
1953;BOM;2622.40;108898.64;44.40;0.00;0.80;12.66;-9.30;921.20;-637.08;-4.20;474.14;1;0;1;0;24;RJ;27;8;4
1954;BOM;2.90;590.78;0.00;;0.00;11.40;0.00;;-37.50;-13.86;502.40;5;0;2;0;16;MG;;6;4
1955;BOM;8.80;65.04;45.88;0.00;;12.87;3.70;-8513.40;-10.83;0.84;1089.58;0;0;0;0;0;MG;21;6;4
1956;MAU;7.50;563.68;99.16;0.71;10.20;11.73;-1.40;686.00;-47.50;-1.26;1488.36;7;0;2;0;0;RJ;52;4;2
1957;MAU;21.50;1663.94;454.36;;5.80;11.26;0.00;732.20;-363.75;-2.52;75.36;0;0;0;0;61;RJ;20;5;3
1958;BOM;10.40;173.44;0.00;0.00;0.70;13.95;3.70;-15930.60;-15.83;-2.10;1802.36;21;0;0;0;0;MG;34;4;4
1959;BOM;5.50;319.78;8.88;0.14;2.90;13.49;1.50;-261.80;-13.33;-14.28;1064.46;0;0;2;0;0;MG;19;4;2
1960;MAU;6.10;563.68;50.32;0.00;;12.22;0.05;243.60;-11.66;5.04;3432.02;1;0;3;0;0;MG;64;4;3
1961;MAU;1.10;514.90;16.28;;;13.53;5.15;-37321.20;68.75;-2.94;1180.64;3;0;3;0;7;RJ;20;6;4
1962;MAU;32.90;2043.34;7.40;0.00;1.40;11.94;6.30;775.60;109.58;0.42;609.16;4;0;3;0;12;RJ;40;4;4
1963;MAU;15.50;200.54;37.00;0.00;2.40;15.17;2.20;-322.00;-11.25;2.94;1199.48;0;0;3;0;0;RJ;19;7;3
1964;BOM;10.00;872.62;2.96;0.00;1.90;12.44;-0.35;1141.00;35.83;-22.26;942.00;0;0;0;0;0;SP;42;1;3
1965;MAU;93.00;4021.64;88.80;0.69;3.00;12.46;3.85;-485.80;-129.58;-11.34;2923.34;0;0;18;0;0;SP;39;4;4
1966;BOM;;;0.00;0.00;0.40;20.53;-9.65;981.40;0.41;-0.84;719.06;19;0;18;0;0;MG;34;3;3
1967;MAU;0.60;547.42;0.00;0.00;17.00;11.27;0.00;1754.20;105.00;-4.62;119.32;4;0;15;0;0;MG;36;1;2
1968;MAU;40.40;260.16;41.44;1.36;7.90;13.46;-0.30;-298.20;-28.75;273.00;700.22;4;0;5;0;0;MG;36;4;4
1969;MAU;18.90;764.22;186.48;;0.00;13.73;-0.90;417.20;-547.08;-6.30;816.40;0;0;0;0;7;MG;22;5;3
1970;MAU;45.00;1994.56;60.68;0.21;1.20;11.89;-2.35;756.00;6.25;-0.84;1990.76;90;0;175;0;0;MG;33;1;4
1971;MAU;6.90;796.74;2.96;0.32;1.30;11.68;-0.45;917.00;-51.25;0.84;816.40;16;27;28;0;0;RJ;21;4;3
1972;BOM;12.40;710.02;75.48;0.00;1.50;14.03;-2.55;992.60;-125.83;-6.72;891.76;2;2;1;0;0;MG;37;1;4
1973;MAU;7.60;439.02;109.52;1.27;11.00;12.79;3.00;-1010.80;-32.91;-0.42;2191.72;2;0;18;0;0;RJ;21;3;3
1974;MAU;11.30;742.54;90.28;1.38;0.60;12.95;0.35;651.00;-29.58;-0.84;1406.72;3;0;4;0;0;RJ;21;6;2
1975;MAU;3.30;276.42;0.00;0.00;1.90;13.25;0.85;-115105.20;67.50;-1.26;872.92;0;0;2;0;0;MG;50;4;2
1976;MAU;202.80;715.44;37.00;0.39;1.80;15.29;2.90;196.00;-20.83;-2.10;3987.80;3;0;7;0;0;MG;21;4;2
1977;MAU;2.70;476.96;0.00;0.00;5.80;12.59;0.45;-226.80;-4.58;-1.68;3432.02;3;0;2;0;0;MG;21;7;3
1978;MAU;38.40;937.66;93.24;1.61;13.80;12.69;-0.20;378.00;-40.83;-1.26;976.54;1;0;0;29;0;MG;39;7;3
1979;MAU;;;56.24;1.75;0.20;14.27;-9.30;593.60;-12.08;-35.28;1321.94;42;0;65;0;0;MG;27;7;3
1980;MAU;24.30;715.44;82.88;1.79;2.20;12.84;-0.50;576.80;-325.41;0.84;847.80;0;0;2;0;0;RJ;27;6;3
1981;MAU;2.50;281.84;23.68;0.00;2.20;12.82;2.30;-89.60;-4.16;-17.64;555.78;2;0;0;0;0;RJ;27;2;3
1982;BOM;;;60.68;0.00;4.50;13.01;-23.20;1008.00;-43.75;-8.40;1425.56;1;0;0;0;0;MG;21;7;4
1983;MAU;7.70;216.80;74.00;0.00;2.80;15.21;1.65;-193.20;-21.66;-5.88;1365.90;0;0;0;0;0;MG;100;4;3
1984;BOM;22.10;227.64;1081.88;0.00;7.30;11.56;2.85;;-689.16;-4.20;307.72;1;0;4;0;0;MG;41;4;2
1985;MAU;3.50;569.10;38.48;0.00;3.40;12.34;-0.05;494.20;7.50;-0.84;562.06;0;0;0;0;0;MG;59;2;2
1986;BOM;6.50;449.86;28.12;0.00;4.90;12.61;2.85;259.00;-12.50;-8.40;1230.88;1;0;1;0;0;MG;42;5;3
1987;MAU;4.20;233.06;0.00;0.00;1.90;13.73;1.00;-1223.60;14.58;-5.04;3777.42;0;0;1;0;0;MG;39;5;4
1988;MAU;5.70;807.58;47.36;0.00;4.40;11.54;0.70;-828.80;114.58;-5.46;471.00;13;0;0;0;0;RJ;21;6;2
